,Datetime,Tweet Id,Text,Username
0,2021-11-28 11:36:20+00:00,1464921093878263810,"@Danishmhr Hi, the payment against booking id 16197560216 has failed.
In case this amount was deducted from your account please reach out to your bank customer care to know when the amount will be credited to your account/card as per your bank's internal process.
For further queries, DM us.",PaytmTravelCare
1,2021-11-28 10:06:57+00:00,1464898601180532738,"@Paytm @Paytmcare  i order hindi sound box but they delivered wrong language sound box.
Customer care does not response it.
Order id 16171233403
Please look into this matter
I want to return this order.",mahesh70000
2,2021-11-28 05:51:47+00:00,1464834387212582912,"3 din se customer care se bat krne ki koshish kr raha hu Mgr nahi ho PA rahi h 
Mere 2 transaction hai Jin ke bare me bat krni thi(1)Transaction ID 100003044770435
Reference no132456015462(2)Transaction ID 100003034307739
Reference no132084667812 please help me @Paytmcare @Paytm",MDanishQasmi2
3,2021-11-27 10:31:26+00:00,1464542374667845637,@Paytm Its been more then 4 months since my refund for flight cancellation is pending and whenever I call I get the response from customer care stating it will be done As Soon as Possible but no one cares and calls back . This is the Booking Id :12722579551. Need resolution ASAP,mrsaurabh10
4,2021-11-27 06:06:49+00:00,1464475780205846528,"@Mohitji01802434 @Paytm Hi Mohit, We are sorry for the unpleasant experience. You can contact our customer care executive regarding this:- Call Us :- 7872478724 or
E-mail Us : helpdesk-support@vmartretail.com",vmartretail
5,2021-11-27 01:41:08+00:00,1464408920013692934,"Dear @Paytm @Paytmcare @PaytmTravel 

Have raised an issue with ticket ID 22053401869 since last night but still no response yet. 

Customer care number is always busy, is this the kind of customer service ?",SamarMirza110
6,2021-11-23 14:08:12+00:00,1463147374717530114,@Paytm can you please solve the issue regarding my ticket no. 3127143836. I did what so ever your customer care executive told me to do. Please help me to get my money.,Kanika00312997
7,2021-11-23 10:29:48+00:00,1463092411807059968,"@Paytm @Paytmcare  I already has shared the proofs many times via mail and app. Since 10 months I have filed numerous complaints via call to customer care and mail. Still, no refund update. Try to resolve asap. contact 9882878371, 8219567056",Ashish979187
8,2021-11-23 10:04:45+00:00,1463086107155841026,"@PaytmBank @Paytm 

You have the worst customer care service. your customer care executive doesn't have the basic knowledge, about how to talk to the customer.

Ticket ID : 3127148484",mrmayankbansal
9,2021-11-23 07:00:05+00:00,1463039633420214279,"@Paytmcare @Paytm Waiting for refund on booking ID 10202265376, ref- 197232892. On August 31, support team indicated that a refund will be provided in 7-10 working days. Still waiting for the refund for the last 100 days. No positive outcome from call with customer care",rachitG8
10,2021-11-22 17:25:56+00:00,1462834746094800901,"@Paytm @PaytmTravel 
Hi cancelled my ticket on 15th October 2021
But refund is not processed yet. On customer care it was promised that refund will be processed by 15th November but it didn't processed

Booking id 15473362956",IamRishabh_tw
11,2021-11-22 07:45:29+00:00,1462688674013855746,"@Paytmcare @Paytm Name - anishkumar
Acc no - 918451853106
Ifsc - PYTM0123456
Money has gone into this account by mistake
 please help
 Your Customers Care are not listening",AdeshSardar
12,2021-11-22 07:07:16+00:00,1462679054335709186,"@MoHFW_INDIA Hi Sir, Please do some needful. I ordered medicines from https://t.co/DQ1zK3Ed4d online and paid through paytm on 11th October, order id is 16339206529001870M. I called customer care multiple times but my order is not delivered till today (Nov 22, 2021).",SandipLuvsIndia
13,2021-11-18 09:22:02+00:00,1461263419143712768,"Dear Team, 
this is to inform you that, I am unable to log in to my account 9437365463. it is showing blocked. I repeatedly tried to contact your customer care helpline but it was unable. @Paytm @Paytmcare  Please help me to unblock my account so that I can start the transition.",GOPALDAS1996
14,2021-11-17 19:46:22+00:00,1461058150950313985,"Hii @GooglePlay @Paytm 
+917381719235 this mobile number are using your name to fraud people through your platform.
he take money from people through using name of your customer care service..so plz take step about this one.
@CybercrimeCID plz look this matter..I'm victim of this",vipulvalaki182
15,2021-11-16 17:09:37+00:00,1460656313327763456,"I used @Paytm rent pay 2 days Ago And it's been 48 hours. Amount is not credited yet In my landlord account.. 
The customer care Is wrost No human Interaction not even reply in Via chat @Paytmcare @PaytmMoney @PaytmBank @PaytmFirstGames 
Account details 6392402162... 
@RBI",abhitiwari492
